Name,Phone,Address,Email,Location
CityMD Tribeca,(212) 335-0594,"87 Chambers St, New York, NY 10007",N/A,Idaho
CityMD Fulton,(212) 271-4896,"138 Fulton St, New York, NY 10038",N/A,Idaho
NYU Langone Medhattan Medical Care,(646) 461-2544,"106 Liberty St, New York, NY 10006",N/A,Idaho
CityMD Lower East Side (Delancey Street),(212) 609-2541,"138 Delancey St, New York, NY 10002",N/A,Idaho
CityMD West Village,(212) 219-2659,"331 Avenue of the Americas, New York, NY 10014",N/A,Idaho
UMD Urgent Medical Care Montague,(718) 522-3383,"109 Montague St, Brooklyn, NY 11201",N/A,Idaho
CityMD Brooklyn Heights,(646) 346-7918,"135 Montague St, Brooklyn, NY 11201",N/A,Idaho
GoHealth Urgent Care Greenwich Village,(212) 897-1991,"41 E 8th St, New York, NY 10003",N/A,Idaho
Mount Sinai Doctors Brooklyn Heights Urgent Careâ,(929) 210-6300,"300 Cadman Plz W, Brooklyn, NY 11201",N/A,Idaho
ProHealth Urgent Care Brooklyn Heights,(347) 335-0062,"26 Court St, Brooklyn, NY 11242",N/A,Idaho
CityMD W14th (5th & 6th Ave),(212) 390-0558,"14 W 14th St, New York, NY 10011",N/A,Idaho
New York Doctors Urgent Care,(212) 414-2800,"65 W 13th St, New York, NY 10011",N/A,Idaho
CityMD E14th (2nd & 3rd Ave),(212) 561-04,"216 E 14th St, New York, NY 10003",N/A,Idaho
Mount Sinai Urgent Care Union Square,(212) 844-6000,"10 Union Sq E, New York, NY 10003",N/A,Idaho
UMD Urgent Medical Care Union Square,(212) 242-4333,"110 W 14th St, New York, NY 10011",N/A,Idaho
PM Pediatrics Cobble Hill Brooklyn,(718) 246-5437,"240 Atlantic Ave, Brooklyn, NY 11201",N/A,Idaho
GoHealth Urgent Care Gramercy,(212) 420-0222,"176 3rd Ave, New York, NY 10003",N/A,Idaho
CityMD Cobble Hill,(718) 280-5362,"228 Court St # 230, Brooklyn, NY 11201",N/A,Idaho
Astrahealth Center Hoboken,(201) 464-8888,"93-95 Hudson St, Hoboken, NJ 07030",N/A,Idaho
MedRite Urgent Care Lower Manhattan,(212) 826-7777,"380 2nd Ave, New York, NY 10010",N/A,Idaho
ProHealth Urgent Care Gramercy,(646) 998-4126,"291 3rd Ave, New York, NY 10010",N/A,Idaho
CityMD E23rd,(646) 518-0163,"212 E 23rd St, New York, NY 10010",N/A,Idaho
CityMD W23rd (5th & 6th Ave),(646) 596-9267,"37 W 23RD ST, New York, NY 10010",N/A,Idaho
CityMD Boerum Hill (Bkln),(718) 530-1144,"457 Atlantic Ave, Brooklyn, NY 11217",N/A,Idaho
GoHealth Urgent Care Chelsea,(212) 897-1994,"225 W 23rd St, New York, NY 10011",N/A,Idaho
ProHealth Urgent Care Stuyvesant,(631) 923-2450,"348 W 23rd St, New York, NY 10011",N/A,Idaho
Prompt MD Hoboken,(201) 222-8411,"309 1st St, Hoboken, NJ 07030",N/A,Idaho
GoHealth Urgent Care Williamsburg,(347) 801-2136,"145 Kent Ave, Brooklyn, NY 11249",N/A,Idaho
UMD Urgent Medical Care Williamsburg,(347) 987-4144,"633 Driggs Ave, Brooklyn, NY 11211",N/A,Idaho
Midtown NY Doctors Urgent Care,(212) 684-4700,"205 Lexington Ave, New York, NY 10016",N/A,Idaho
CityMD West 33rd,(646) 647-1249,"5 Penn Plz, New York, NY 10001",N/A,Idaho
CityMD E37th (3rd Ave),(212) 729-4669,"561 3rd Ave, New York, NY 10016",N/A,Idaho
CityMD Prospect Heights,(718) 656-1290,"288 Flatbush Ave, Brooklyn, NY 11217",N/A,Idaho
ProHealth Urgent Care Greenpoint,(347) 987-4040,"833 Manhattan Ave, Brooklyn, NY 11222",N/A,Idaho
GoHealth Urgent Care Park Slope,(516) 531-2364,"365 Flatbush Ave, Brooklyn, NY 11238",N/A,Idaho
